episode,phase,frame_index,global_index,length,batch_loss,arm_l2_error,arm_linf_error,gripper_pred,gripper_target,gripper_abs_error,gripper_sign_match,gripper_pred_binary,gripper_binary_match,state_gripper_left,state_gripper_right,pred_a0,target_a0,raw_a0,abs_err_a0,pred_a1,target_a1,raw_a1,abs_err_a1,pred_a2,target_a2,raw_a2,abs_err_a2,pred_a3,target_a3,raw_a3,abs_err_a3,pred_a4,target_a4,raw_a4,abs_err_a4,pred_a5,target_a5,raw_a5,abs_err_a5,pred_a6,target_a6,raw_a6,abs_err_a6,pred_a7,target_a7,raw_a7,abs_err_a7
0,early_20pct,41,41,207,0.016885198652744293,0.005074451211839914,0.003412187099456787,1.0005288124084473,1.0,0.0005288124084472656,True,1.0,True,0.03999999910593033,0.03999941796064377,-0.0910155326128006,-0.09235527366399765,-0.8130981922149658,0.001339741051197052,0.050092849880456924,0.05073123425245285,-0.07391969859600067,0.0006383843719959259,-0.2560817003250122,-0.2526695132255554,-0.8862137198448181,0.003412187099456787,-2.4159505367279053,-2.4158132076263428,0.34198275208473206,0.0001373291015625,0.08273109048604965,0.083234041929245,-0.05365035682916641,0.000502951443195343,2.4755520820617676,2.475905656814575,-0.5103529095649719,0.0003535747528076172,0.42111724615097046,0.41772493720054626,-0.2731149196624756,0.0033923089504241943,1.0005288124084473,1.0,1.358375072479248,0.0005288124084472656
0,mid_50pct,103,103,207,0.016885198652744293,0.04967353120446205,0.03242740035057068,-0.9981348514556885,-1.0,0.0018651485443115234,True,-1.0,True,0.02040022984147072,0.0207279734313488,-0.04985738545656204,-0.046455129981040955,-0.5468106269836426,0.0034022554755210876,0.3455459177494049,0.31311851739883423,1.2808849811553955,0.03242740035057068,-0.2608158588409424,-0.2726616859436035,-0.9175949692726135,0.011845827102661133,-2.395669460296631,-2.4035143852233887,0.44075682759284973,0.007844924926757812,0.27441924810409546,0.2545602321624756,0.853707492351532,0.019859015941619873,2.723830223083496,2.7040390968322754,0.5212879776954651,0.019791126251220703,0.6320114135742188,0.6116052269935608,0.19278734922409058,0.02040618658065796,-0.9981348514556885,-1.0,-0.7345207929611206,0.0018651485443115234
0,late_80pct,165,165,207,0.016885198652744293,0.03974137455224991,0.03204679489135742,-0.9975833892822266,-1.0,0.0024166107177734375,True,-1.0,True,0.020312877371907234,0.020823631435632706,0.2774410843849182,0.27585139870643616,1.5707656145095825,0.0015896856784820557,0.1238265112042427,0.10766793042421341,0.26418715715408325,0.016158580780029297,-0.08250784128904343,-0.08253257721662521,0.26435789465904236,2.473592758178711e-05,-2.168227434158325,-2.1547679901123047,1.5484697818756104,0.013459444046020508,0.04506263881921768,0.036298349499702454,-0.23195433616638184,0.008764289319515228,2.3063883781433105,2.274341583251953,-1.2132574319839478,0.03204679489135742,1.3251838684082031,1.3196356296539307,1.7241268157958984,0.005548238754272461,-0.9975833892822266,-1.0,-0.7339432835578918,0.0024166107177734375
1,early_20pct,41,248,208,0.016885198652744293,0.022223757579922676,0.01517176628112793,0.9942922592163086,1.0,0.005707740783691406,True,1.0,True,0.03999999910593033,0.039998847991228104,-0.031611472368240356,-0.021504320204257965,-0.4287621080875397,0.010107152163982391,-0.06452295929193497,-0.05899924039840698,-0.5994922518730164,0.005523718893527985,-0.2616339325904846,-0.2523888945579529,-0.9230177998542786,0.009245038032531738,-2.5421526432037354,-2.5460822582244873,-0.2726609408855438,0.003929615020751953,0.045133497565984726,0.042039550840854645,-0.2316189408302307,0.003093946725130081,2.494499683380127,2.509671449661255,-0.4316215515136719,0.01517176628112793,0.4810701608657837,0.4765356481075287,-0.14066840708255768,0.004534512758255005,0.9942922592163086,1.0,1.3518445491790771,0.005707740783691406
1,mid_50pct,104,311,208,0.016885198652744293,0.11324133723974228,0.060331642627716064,-1.0076792240142822,-1.0,0.0076792240142822266,True,-1.0,True,0.020328694954514503,0.020695241168141365,-0.08232320100069046,-0.058287009596824646,-0.7568600177764893,0.024036191403865814,0.31048694252967834,0.2501552999019623,1.1201214790344238,0.060331642627716064,-0.1499847024679184,-0.180592879652977,-0.18292701244354248,0.030608177185058594,-2.5281388759613037,-2.5304272174835205,-0.20440934598445892,0.002288341522216797,0.32885605096817017,0.28578755259513855,1.1113845109939575,0.043068498373031616,2.814833402633667,2.7585880756378174,0.8994220495223999,0.05624532699584961,0.29956209659576416,0.350995808839798,-0.5416516065597534,0.051433712244033813,-1.0076792240142822,-1.0,-0.7445151805877686,0.0076792240142822266
1,late_80pct,166,373,208,0.016885198652744293,0.02028055116534233,0.01576685905456543,-1.0023245811462402,-1.0,0.0023245811462402344,True,-1.0,True,0.02028299868106842,0.020744552835822105,0.18001171946525574,0.18036597967147827,0.9404109120368958,0.0003542602062225342,0.058617960661649704,0.06893290579319,-0.034827668219804764,0.010314945131540298,-0.014954321086406708,-0.012959001585841179,0.7121509313583374,0.001995319500565529,-2.2159414291381836,-2.200174570083618,1.316088318824768,0.01576685905456543,0.0848710909485817,0.08114423602819443,-0.04352062940597534,0.003726854920387268,2.2814114093780518,2.278625249862671,-1.3170413970947266,0.0027861595153808594,0.9598705768585205,0.9653977751731873,0.9170858263969421,0.005527198314666748,-1.0023245811462402,-1.0,-0.7389081120491028,0.0023245811462402344
2,early_20pct,41,456,207,0.016885198652744293,0.05781174823641777,0.045767784118652344,0.9710482358932495,1.0,0.02895176410675049,True,1.0,True,0.03999999910593033,0.039999108761548996,-0.02383200079202652,-0.01692339777946472,-0.37842997908592224,0.006908603012561798,-0.21986162662506104,-0.1943606734275818,-1.3118001222610474,0.025500953197479248,-0.25991272926330566,-0.24485936760902405,-0.9116085171699524,0.015053361654281616,-2.7694339752197266,-2.7650845050811768,-1.3795901536941528,0.004349470138549805,-0.012177489697933197,-0.01571868546307087,-0.5029010772705078,0.0035411957651376724,2.6527230739593506,2.6697940826416016,0.22582444548606873,0.017071008682250977,0.48801493644714355,0.5337827205657959,-0.12532620131969452,0.045767784118652344,0.9710482358932495,1.0,1.3275045156478882,0.02895176410675049
2,mid_50pct,103,518,207,0.016885198652744293,0.21256008744239807,0.13459321856498718,-1.001721739768982,-1.0,0.0017217397689819336,True,-1.0,True,0.020121576264500618,0.020570950582623482,-0.06072068214416504,-0.01918283849954605,-0.6170946955680847,0.04153784364461899,0.1900688111782074,0.09752652794122696,0.5679422616958618,0.09254228323698044,-0.08236552774906158,-0.15434272587299347,0.26530125737190247,0.07197719812393188,-2.7468369007110596,-2.765557050704956,-1.2695348262786865,0.018720149993896484,0.54139244556427,0.40679922699928284,2.1174278259277344,0.13459321856498718,3.0354857444763184,2.9769914150238037,1.8162715435028076,0.05849432945251465,0.17800816893577576,0.26646289229393005,-0.8101855516433716,0.0884547233581543,-1.001721739768982,-1.0,-0.7382767796516418,0.0017217397689819336
2,late_80pct,165,580,207,0.019943801686167717,0.02846980281174183,0.02101767808198929,-1.0117992162704468,-1.0,0.011799216270446777,True,-1.0,True,0.020146546885371208,0.02054324373602867,0.09121380001306534,0.09000091999769211,0.36590054631233215,0.00121288001537323,-0.05996555835008621,-0.0809832364320755,-0.5785942077636719,0.02101767808198929,0.14047031104564667,0.13546529412269592,1.742416501045227,0.005005016922950745,-2.437821865081787,-2.439448595046997,0.2354627400636673,0.001626729965209961,0.01577896624803543,0.014577592723071575,-0.3705689013004303,0.0012013735249638557,2.505728006362915,2.4931893348693848,-0.38496649265289307,0.012538671493530273,1.061572790145874,1.0481207370758057,1.141763687133789,0.01345205307006836,-1.0117992162704468,-1.0,-0.7488294243812561,0.011799216270446777
3,early_20pct,40,662,201,0.019943801686167717,0.025148654356598854,0.02260488271713257,1.0107709169387817,1.0,0.010770916938781738,True,1.0,True,0.03999999910593033,0.03999960422515869,0.023345258086919785,0.025363057851791382,-0.07319959253072739,0.0020177997648715973,-0.012023456394672394,-0.014750964939594269,-0.3587549924850464,0.002727508544921875,-0.2094055414199829,-0.20301344990730286,-0.5768107771873474,0.006392091512680054,-2.5272531509399414,-2.523024797439575,-0.20009532570838928,0.004228353500366211,0.03984471783041954,0.03392798826098442,-0.25665342807769775,0.00591672956943512,2.61606502532959,2.6120378971099854,0.07350410521030426,0.004027128219604492,0.5529135465621948,0.5755184292793274,0.018046244978904724,0.02260488271713257,1.0107709169387817,1.0,1.3691000938415527,0.010770916938781738
